age,age_range
1,<=19
2,<=19
3,<=19
4,<=19
5,<=19
6,<=19
7,<=19
8,<=19
9,<=19
10,<=19
11,<=19
12,<=19
13,<=19
14,<=19
15,<=19
16,<=19
17,<=19
18,<=19
19,<=19
20,20-24
21,20-24
22,20-24
23,20-24
24,20-24
25,25-29
26,25-29
27,25-29
28,25-29
29,25-29
30,30-34
31,30-34
32,30-34
33,30-34
34,30-34
35,35-39
36,35-39
37,35-39
38,35-39
39,35-39
40,40-44
41,40-44
42,40-44
43,40-44
44,40-44
45,45-49
46,45-49
47,45-49
48,45-49
49,45-49
50,50-54
51,50-54
52,50-54
53,50-54
54,50-54
55,55-59
56,55-59
57,55-59
58,55-59
59,55-59
60,60-64
61,60-64
62,60-64
63,60-64
64,60-64
65,65-69
66,65-69
67,65-69
68,65-69
69,65-69
70,70-74
71,70-74
72,70-74
73,70-74
74,70-74
75,75-79
76,75-79
77,75-79
78,75-79
79,75-79
80,80+
81,80+
82,80+
83,80+
84,80+
85,80+
86,80+
87,80+
88,80+
89,80+
90,80+
91,80+
92,80+
93,80+
94,80+
